movieId,avg_rating,vote_count,title,score
356,4.164133738601824,329,Forrest Gump,1077.032111156862
318,4.429022082018927,317,"Shawshank Redemption, The",1038.1217099579198
296,4.197068403908795,307,Pulp Fiction,1005.2785307560222
593,4.161290322580645,279,"Silence of the Lambs, The",913.8800727761883
2571,4.192446043165468,278,"Matrix, The",910.6453097761196
260,4.231075697211155,251,Star Wars: Episode IV - A New Hope,822.5713078182666
480,3.75,238,Jurassic Park,779.7136496922187
110,4.031645569620253,237,Braveheart,776.7030865173152
589,3.970982142857143,224,Terminator 2: Judgment Day,734.2221542672347
527,4.225,220,Schindler's List,721.3936601470971
2959,4.272935779816514,218,Fight Club,714.9086294118471
1,3.9209302325581397,215,Toy Story,704.8041891846412
1196,4.2156398104265405,211,Star Wars: Episode V - The Empire Strikes Back,692.0102857545651
50,4.237745098039215,204,"Usual Suspects, The",669.1816172400673
2858,4.056372549019608,204,American Beauty,669.0214440798942
47,3.9753694581280787,203,Seven,665.6859318213973
780,3.4455445544554455,202,Independence Day,661.9545806508471
150,3.845771144278607,201,Apollo 13,659.0436733895766
1198,4.2075,200,Raiders of the Lost Ark,656.0984141421136
4993,4.106060606060606,198,"Lord of the Rings: The Fellowship of the Ring, The",649.4807853604576
1210,4.137755102040816,196,Star Wars: Episode VI - Return of the Jedi,642.980309670733
858,4.2890625,192,"Godfather, The",630.0559850292079
457,3.9921052631578946,190,"Fugitive, The",623.2671891048348
592,3.4285714285714284,189,Batman,619.5098405713458
2028,4.1462765957446805,188,Saving Private Ryan,616.8734651382747
5952,4.0212765957446805,188,"Lord of the Rings: The Two Towers, The",616.7641628126933
7153,4.118918918918919,185,"Lord of the Rings: The Return of the King, The",607.056352880308
588,3.7923497267759565,183,Aladdin,600.2428615055887
608,4.116022099447513,181,Fargo,593.995916713218
2762,3.893854748603352,179,"Sixth Sense, The",587.2737674327786
380,3.497191011235955,178,True Lies,583.6649008245814
32,3.983050847457627,177,Twelve Monkeys,580.8222409832492
364,3.941860465116279,172,"Lion King, The",564.4636096640883
1270,4.038011695906433,171,Back to the Future,561.2819913971629
377,3.5292397660818713,171,Speed,560.8425974577689
3578,3.9382352941176473,170,Gladiator,557.9311379887296
4306,3.8676470588235294,170,Shrek,557.8702242831458
1580,3.487878787878788,165,Men in Black,541.2202725226035
590,3.8353658536585367,164,Dances with Wolves,538.2541135781279
648,3.537037037037037,162,Mission: Impossible,531.4687522357567
344,3.040372670807453,161,Ace Ventura: Pet Detective,527.7787727798462
4226,4.122641509433962,159,Memento,522.1753292671383
367,3.1847133757961785,157,"Mask, The",514.8446133662594
58559,4.238255033557047,149,"Dark Knight, The",489.6196356163712
6539,3.778523489932886,149,Pirates of the Caribbean: The Curse of the Black Pearl,489.23043107091667
1214,3.969178082191781,146,Alien,479.59540793195254
595,3.7705479452054793,146,Beauty and the Beast,479.42777787414906
1036,3.8620689655172415,145,Die Hard,476.2395540743621
165,3.5555555555555554,144,Die Hard: With a Vengeance,472.7159353392376
500,3.388888888888889,144,Mrs. Doubtfire,472.5755844620446
79132,4.066433566433567,143,Inception,469.88041469932824
1265,3.944055944055944,143,Groundhog Day,469.77747352285763
1197,4.232394366197183,142,"Princess Bride, The",466.7540826533658
1704,4.078014184397163,141,Good Will Hunting,463.3585318548135
6377,3.9609929078014185,141,Finding Nemo,463.26031756909924
1291,4.046428571428572,140,Indiana Jones and the Last Crusade,460.06617154763694
1721,3.414285714285714,140,Titanic,459.53623142787643
316,3.375,140,Stargate,459.5032972961399
2628,3.107142857142857,140,Star Wars: Episode I - The Phantom Menace,459.27874639793635
153,2.9160583941605838,137,Batman Forever,449.32406110327133
1136,4.161764705882353,136,Monty Python and the Holy Grail,447.0985213031322
597,3.4851851851851854,135,Pretty Woman,443.2684928243299
1193,4.203007518796992,133,One Flew Over the Cuckoo's Nest,437.3340081798359
293,4.018796992481203,133,LÃ©on: The Professional,437.1808831798359
3793,3.699248120300752,133,X-Men,436.9152581798359
231,3.0601503759398496,133,Dumb & Dumber,436.3840081798359
4886,3.871212121212121,132,"Monsters, Inc.",433.7921378294035
10,3.496212121212121,132,GoldenEye,433.4808170746865
1089,4.202290076335878,131,Reservoir Dogs,430.80052173818615
7361,4.1603053435114505,131,Eternal Sunshine of the Spotless Mind,430.7657116116039
6874,3.9618320610687023,131,Kill Bill: Vol. 1,430.6011546495786
1240,3.8969465648854964,131,"Terminator, The",430.54735718122413
1221,4.25968992248062,129,"Godfather: Part II, The",424.3148667635926
2329,4.217054263565892,129,American History X,424.2796103533362
34,3.65234375,128,Babe,420.5466030699949
1213,4.25,126,Goodfellas,414.5065603808972
1200,3.9642857142857144,126,Aliens,414.27126626325014
8961,3.836,125,"Incredibles, The",410.8992088156353
1682,3.812,125,"Truman Show, The",410.87947197353003
541,4.100806451612903,124,Blade Runner,407.85019639293176
4995,4.0,123,"Beautiful Mind, A",404.5006898956377
736,3.321138211382114,123,Twister,403.9440232289711
1097,3.7663934426229506,122,E.T. the Extra-Terrestrial,401.0426256846676
5349,3.540983606557377,122,Spider-Man,400.8580619262783
733,3.6404958677685952,121,"Rock, The",397.6731275901495
2683,3.1983471074380163,121,Austin Powers: The Spy Who Shagged Me,397.31164110366296
4973,4.183333333333334,120,Amelie,394.84978539677286
1206,3.995833333333333,120,"Clockwork Orange, A",394.69672417228304
2716,3.775,120,Ghostbusters,394.5164520634395
5445,3.6375,120,Minority Report,394.40420716548033
1073,3.8739495798319328,119,Willy Wonka & the Chocolate Factory,391.33039682853376
4963,3.8445378151260505,119,Ocean's Eleven,391.30642422579405
33794,3.8620689655172415,116,Batman Begins,381.5198592295662
1527,3.7456896551724137,116,"Fifth Element, The",381.4254536351606
586,2.9956896551724137,116,Home Alone,380.81706202676895
5989,3.9217391304347826,115,Catch Me If You Can,378.30109160630735
587,3.4347826086956523,115,Ghost,377.90672540912425
208,2.9130434782608696,115,Waterworld,377.48419019785666
1968,3.7787610619469025,113,"Breakfast Club, The",371.6511216114396
5418,3.8169642857142856,112,"Bourne Identity, The",368.41470435136506
185,3.0401785714285716,112,"Net, The",367.7888050707895
3147,4.148648648648648,111,"Green Mile, The",365.41416447633907
7438,3.868181818181818,110,Kill Bill: Vol. 2,361.9210905422385
3996,3.8363636363636364,110,"Crouching Tiger, Hidden Dragon",361.89554309698303
349,3.6045454545454545,110,Clear and Present Danger,361.7094117101217
2,3.4318181818181817,110,Jumanji,361.5707255787348
1258,4.08256880733945,109,"Shining, The",358.82535312128965
4878,3.981651376146789,109,Donnie Darko,358.7444707683485
924,3.8944954128440368,109,2001: A Space Odyssey,358.674617827172
2918,3.8394495412844036,109,Ferris Bueller's Day Off,358.6305001801132
253,3.458715596330275,109,Interview with the Vampire: The Vampire Chronicles,358.32535312128965
2115,3.638888888888889,108,Indiana Jones and the Temple of Doom,355.2024485804516
329,3.3935185185185186,108,Star Trek: Generations,355.0061522841553
48516,4.252336448598131,107,"Departed, The",352.4249030289804
1208,4.219626168224299,107,Apocalypse Now,352.3987836259953
4896,3.7616822429906542,107,Harry Potter and the Sorcerer's Stone,352.03311198420425
1732,3.9245283018867925,106,"Big Lebowski, The",348.895243361373
539,3.4716981132075473,106,Sleepless in Seattle,348.53434110573386
68954,4.004761904761905,105,Up,345.69107304468713
1923,3.676190476190476,105,There's Something About Mary,345.4297094083235
111,4.105769230769231,104,Taxi Driver,342.50305214039395
60069,4.0576923076923075,104,WALLÂ·E,342.46488420146267
223,3.855769230769231,104,Clerks,342.3045788579512
39,3.293269230769231,104,Clueless,341.858013972455
161,3.6359223300970873,103,Crimson Tide,338.8623225580106
357,3.5194174757281553,103,Four Weddings and a Funeral,338.77001486570293
2706,3.378640776699029,103,American Pie,338.65847640416445
1222,4.098039215686274,102,Full Metal Jacket,335.9599065763409
778,4.03921568627451,102,Trainspotting,335.91339494843396
6,3.946078431372549,102,Heat,335.8397515375812
5816,3.5980392156862746,102,Harry Potter and the Chamber of Secrets,335.5645577391316
454,3.5346534653465347,101,"Firm, The",332.2467021704017
292,3.4257425742574257,101,Outbreak,332.1607646704017
434,3.0346534653465347,101,Cliffhanger,331.8521709204017
912,4.24,100,Casablanca,329.53426551914725
44191,3.885,100,V for Vendetta,329.25473796009214
4022,3.7,100,Cast Away,329.1090686687536
1517,3.535,100,Austin Powers: International Man of Mystery,328.97914740891105
2997,3.9545454545454546,99,Being John Malkovich,326.04086887070497
104,3.4393939393939394,99,Happy Gilmore,325.6361069659431
